year,pop_finnish,pop_swedish,pop_orthodox,pop_german,pop_catholic,pop_jewish
1895,15871,3301,2287,742,NA,112
1896,16206,3354,2313,749,NA,100
1900,18258,3490,2438,776,NA,108
1902,19129,3569,2658,791,NA,120
1903,19676,3627,2759,809,NA,122
1904,20357,3660,2821,823,NA,122
1905,20719,3716,2964,814,NA,123
1906,18416,3624,3130,811,NA,129
1907,18882,3510,3180,842,NA,133
1908,19234,3478,3242,853,NA,136
1909,19223,3426,3293,835,NA,139
1910,19322,3425,3344,867,NA,143
1911,20936,3394,3420,895,323,146
1912,21378,3374,3488,692,346,151
1913,22017,3398,3528,739,348,156
1914,22422,3383,3611,762,337,160
1915,21855,3343,3689,757,380,164
1916,21920,3380,3762,767,405,168
1917,22795,3349,3792,798,389,357
1918,22293,3721,3112,810,352,356
1919,22375,3250,3116,858,350,362
1920,22724,3253,3131,962,354,361
