,district,page_number,representative_plot,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men,total_women,independent,servants,unemployed,orthodox,other_christian,other_religion,draftable
0,Valli,1,3,11.0,19.0,8.0,8.0,0.0,0.0,19,27.0,24.0,22.0,0.0,0.0,2.0,0.0,0.0
1,Valli,2,8,13.0,29.0,6.0,9.0,0.0,0.0,19,38.0,35.0,17.0,5.0,0.0,0.0,0.0,1.0
2,Valli,3,11,22.0,30.0,16.0,10.0,0.0,0.0,38,40.0,56.0,19.0,3.0,1.0,6.0,0.0,0.0
3,Valli,4,15,12.0,33.0,15.0,9.0,0.0,0.0,27,42.0,31.0,37.0,1.0,0.0,0.0,0.0,0.0
4,Valli,5,19,21.0,22.0,12.0,6.0,0.0,0.0,33,28.0,29.0,24.0,8.0,13.0,0.0,0.0,0.0
5,Valli,6,21,23.0,18.0,11.0,8.0,0.0,0.0,34,26.0,20.0,32.0,8.0,0.0,0.0,0.0,0.0
6,Valli,7,24,20.0,33.0,9.0,9.0,0.0,0.0,29,42.0,49.0,18.0,4.0,28.0,0.0,0.0,2.0
7,Valli,8,26,24.0,19.0,5.0,3.0,0.0,0.0,29,22.0,26.0,24.0,1.0,10.0,0.0,0.0,2.0
8,Valli,9,31,16.0,22.0,6.0,10.0,0.0,0.0,22,32.0,29.0,18.0,7.0,6.0,1.0,0.0,0.0
9,Valli,10,34,17.0,27.0,7.0,2.0,0.0,0.0,24,29.0,32.0,21.0,0.0,17.0,1.0,0.0,0.0
10,Valli,11,36,21.0,32.0,5.0,8.0,0.0,0.0,26,40.0,39.0,22.0,5.0,1.0,0.0,0.0,1.0
11,Valli,12,39,18.0,26.0,13.0,11.0,0.0,0.0,31,37.0,40.0,28.0,0.0,19.0,0.0,0.0,2.0
12,Valli,13,41,17.0,20.0,11.0,7.0,0.0,0.0,28,27.0,30.0,19.0,6.0,8.0,0.0,0.0,1.0
13,Valli,14,45,14.0,25.0,9.0,7.0,0.0,0.0,23,32.0,27.0,15.0,13.0,5.0,0.0,0.0,0.0
14,Valli,15,49,12.0,23.0,6.0,3.0,0.0,0.0,18,26.0,12.0,20.0,12.0,3.0,0.0,0.0,0.0
15,Valli,16,52,19.0,35.0,18.0,6.0,0.0,0.0,37,41.0,38.0,40.0,0.0,1.0,0.0,0.0,1.0
16,Valli,17,56,17.0,24.0,8.0,13.0,0.0,0.0,25,37.0,40.0,17.0,5.0,1.0,0.0,0.0,1.0
17,Valli,18,60,15.0,36.0,3.0,13.0,0.0,0.0,18,49.0,39.0,25.0,3.0,6.0,0.0,0.0,1.0
18,Valli,19,63,22.0,27.0,10.0,8.0,0.0,0.0,32,35.0,45.0,21.0,1.0,17.0,0.0,0.0,0.0
