,district,page_number,representative_plot,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men,total_women,independent,white_collar,worker_industry,worker_other,servants,other,non_resident,orthodox,other_christian,other_religion,russian_men,russian_women
0,Valli,1,2,10.0,23.0,15.0,13.0,0.0,0.0,25.0,36.0,20.0,15.0,0.0,11.0,14.0,1.0,1.0,5.0,0.0,0.0,2.0,3.0
1,Valli,2,6,15.0,23.0,13.0,12.0,0.0,0.0,28.0,35.0,21.0,20.0,0.0,14.0,8.0,0.0,0.0,10.0,1.0,0.0,6.0,2.0
2,Valli,3,9,14.0,23.0,4.0,3.0,0.0,0.0,18.0,26.0,14.0,9.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Valli,4,12,15.0,24.0,10.0,13.0,0.0,0.0,25.0,37.0,15.0,20.0,0.0,21.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
4,Valli,5,17,11.0,21.0,8.0,13.0,0.0,0.0,19.0,34.0,11.0,13.0,0.0,22.0,6.0,1.0,0.0,5.0,1.0,0.0,1.0,1.0
5,Valli,6,20,11.0,18.0,2.0,10.0,0.0,0.0,13.0,28.0,4.0,12.0,0.0,17.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
6,Valli,7,25,30.0,11.0,9.0,5.0,0.0,0.0,39.0,16.0,4.0,9.0,0.0,37.0,3.0,2.0,0.0,30.0,0.0,0.0,28.0,2.0
7,Valli,8,27,19.0,21.0,17.0,18.0,0.0,0.0,36.0,39.0,15.0,13.0,0.0,39.0,8.0,0.0,0.0,16.0,0.0,0.0,7.0,6.0
8,Valli,9,29,18.0,18.0,12.0,10.0,0.0,0.0,30.0,28.0,20.0,16.0,0.0,18.0,4.0,0.0,0.0,6.0,0.0,0.0,4.0,4.0
9,Valli,10,35,20.0,21.0,6.0,6.0,0.0,0.0,26.0,27.0,12.0,10.0,0.0,24.0,7.0,0.0,0.0,8.0,0.0,0.0,5.0,3.0
10,Valli,11,35,19.0,22.0,7.0,5.0,0.0,0.0,26.0,27.0,17.0,10.0,0.0,14.0,11.0,1.0,0.0,11.0,0.0,0.0,6.0,6.0
11,Valli,12,37,11.0,21.0,3.0,9.0,0.0,0.0,14.0,30.0,14.0,12.0,0.0,15.0,3.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0
12,Valli,13,40,11.0,37.0,12.0,7.0,0.0,0.0,23.0,44.0,25.0,17.0,0.0,6.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Valli,14,42,8.0,26.0,3.0,8.0,0.0,0.0,11.0,34.0,17.0,8.0,0.0,6.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Valli,15,45,22.0,24.0,9.0,11.0,0.0,0.0,31.0,35.0,29.0,5.0,0.0,23.0,9.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0
15,Valli,16,46,13.0,29.0,7.0,7.0,0.0,0.0,20.0,36.0,9.0,21.0,0.0,10.0,16.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
16,Valli,17,50,13.0,28.0,14.0,10.0,0.0,0.0,27.0,38.0,10.0,26.0,0.0,17.0,11.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0
17,Valli,18,52,18.0,24.0,7.0,8.0,0.0,0.0,25.0,32.0,25.0,5.0,0.0,15.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Valli,19,53,20.0,45.0,5.0,7.0,0.0,0.0,25.0,52.0,32.0,13.0,0.0,2.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,Valli,20,56,11.0,20.0,4.0,8.0,0.0,0.0,15.0,28.0,13.0,9.0,0.0,16.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Valli,21,59,19.0,32.0,13.0,15.0,0.0,0.0,32.0,47.0,40.0,12.0,0.0,18.0,8.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0
21,Valli,22,61,15.0,33.0,7.0,9.0,0.0,0.0,22.0,42.0,29.0,15.0,0.0,10.0,10.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
22,Valli,23,64,14.0,22.0,8.0,9.0,0.0,0.0,22.0,31.0,25.0,7.0,0.0,13.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
23,Valli,24,64,19.0,33.0,6.0,13.0,0.0,0.0,25.0,46.0,44.0,9.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Valli,25,65,14.0,24.0,4.0,6.0,0.0,0.0,18.0,30.0,6.0,20.0,0.0,18.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,Valli,26,67,16.0,23.0,14.0,12.0,0.0,0.0,30.0,35.0,16.0,11.0,0.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Valli,27,69,9.0,30.0,6.0,7.0,0.0,0.0,15.0,37.0,24.0,10.0,0.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Valli,28,71,14.0,26.0,5.0,10.0,0.0,0.0,19.0,36.0,12.0,14.0,0.0,21.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
28,Valli,29,74,12.0,35.0,13.0,3.0,0.0,0.0,25.0,38.0,27.0,19.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Valli,30,75,12.0,19.0,5.0,8.0,0.0,0.0,17.0,27.0,8.0,24.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Valli,31,81,16.0,28.0,5.0,15.0,0.0,0.0,21.0,33.0,13.0,13.0,0.0,22.0,5.0,1.0,1.0,9.0,0.0,0.0,1.0,4.0
31,Valli,32,85,7.0,27.0,5.0,8.0,0.0,0.0,12.0,35.0,6.0,6.0,0.0,23.0,10.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0
32,Valli,33,89,19.0,27.0,8.0,12.0,0.0,0.0,27.0,39.0,10.0,45.0,0.0,6.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
33,Valli,34,94,13.0,28.0,8.0,3.0,0.0,0.0,21.0,31.0,14.0,13.0,0.0,16.0,6.0,3.0,0.0,18.0,0.0,0.0,5.0,4.0
34,Valli,35,97,11.0,21.0,7.0,13.0,0.0,0.0,18.0,34.0,14.0,10.0,0.0,16.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
35,Valli,36,104,13.0,28.0,11.0,12.0,0.0,0.0,24.0,40.0,13.0,5.0,4.0,37.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
36,Valli,37,108,20.0,26.0,17.0,11.0,0.0,0.0,37.0,37.0,19.0,15.0,0.0,34.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Valli,38,113,19.0,27.0,11.0,9.0,0.0,0.0,30.0,36.0,30.0,5.0,0.0,13.0,18.0,0.0,0.0,23.0,0.0,0.0,13.0,6.0
38,Valli,39,116,17.0,26.0,3.0,4.0,0.0,0.0,20.0,30.0,8.0,17.0,0.0,3.0,9.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0
39,Valli,40,116,47.0,29.0,5.0,5.0,0.0,0.0,32.0,34.0,3.0,6.0,0.0,62.0,0.0,15.0,86.0,1.0,0.0,0.0,0.0,0.0
